postcode,suburb,lat,lon,Local Government Area,Region,Year,A20,A50,A70,A80,A90,B10,B20,B30,B40,B50,B60,C10,C20,C30,C90,D10,D20,D30,D40,E10,E20,F10,F20,F30,F90,A,B,C,D,E,F,Total
3107,templestowe lower,-37.7563,145.102997,Manningham,Eastern Metropolitan,2015,22,3,4,1,8,3,27,64,119,12,0,1,1,7,0,6,6,2,0,0,9,0,0,1,0,38,225,9,14,9,1,296
3108,doncaster,-37.783031,145.122517,Manningham,Eastern Metropolitan,2015,61,4,21,5,21,2,80,150,545,90,1,6,3,13,1,17,15,0,0,3,65,0,0,0,1,112,868,23,32,68,1,1104
3109,doncaster east,-37.811994,145.19474,Manningham,Eastern Metropolitan,2015,50,3,8,3,17,4,61,121,267,48,1,5,3,24,0,6,17,2,0,10,36,0,0,0,0,81,502,32,25,46,0,686
3111,donvale,-38.183899,144.468019,Manningham,Eastern Metropolitan,2015,20,2,6,3,5,4,32,28,59,7,0,1,2,10,0,5,4,2,0,3,10,0,0,0,0,36,130,13,11,13,0,203
3113,north warrandyte,-37.731758,145.221282,Nillumbik,Eastern Metropolitan,2015,2,0,0,0,1,0,1,2,14,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,18,1,0,2,0,24
3113,warrandyte,-37.736915,145.22314,Nillumbik,Eastern Metropolitan,2015,13,2,5,0,7,1,16,40,44,9,0,0,0,7,0,2,4,0,0,0,7,0,0,0,1,27,110,7,6,7,1,158
3114,park orchards,-37.778442,145.214586,Manningham,Eastern Metropolitan,2015,8,0,1,1,4,2,6,9,10,1,0,0,0,1,0,2,0,0,0,0,3,0,0,0,1,14,28,1,2,3,1,49
3115,wonga park,-37.738665999999995,145.270483,Manningham,Eastern Victoria,2015,4,0,2,0,3,0,1,16,24,2,0,1,0,3,0,2,0,0,0,0,2,0,0,0,1,9,43,4,2,2,1,61
3116,chirnside park,-37.750325,145.326463,Yarra Ranges,Eastern Victoria,2015,39,2,4,6,5,4,55,33,213,45,0,4,1,13,0,13,10,2,0,2,29,0,0,0,0,56,350,18,25,31,0,480
3121,burnley,-37.826869,145.00709799999998,Yarra,Northern Metropolitan,2015,10,0,1,0,1,2,36,6,43,14,0,0,0,3,0,4,8,1,0,1,1,0,1,0,0,12,101,3,13,2,1,132
3121,cremorne,-37.829719,144.990346,Yarra,Northern Metropolitan,2015,18,1,0,0,0,1,20,36,116,21,0,0,0,5,0,1,13,1,0,2,8,0,0,0,0,19,194,5,15,10,0,243
3121,richmond,-37.818587,144.999181,Yarra,Northern Metropolitan,2015,203,25,32,5,38,2,193,307,1097,190,0,50,7,136,0,82,233,8,0,18,195,0,4,3,7,303,1789,193,323,213,14,2835
3122,hawthorn,-37.834855,145.052097,Boroondara,Southern Metropolitan,2015,72,8,5,5,26,2,79,247,552,60,0,6,0,39,0,14,41,3,0,3,32,0,0,0,0,116,940,45,58,35,0,1194
3123,hawthorn east,-37.782253999999995,145.001811,Boroondara,Southern Metropolitan,2015,28,3,7,1,4,1,36,112,246,21,0,0,0,3,0,6,8,3,0,1,14,0,0,0,0,43,416,3,17,15,0,494
3124,camberwell,-37.824818,145.05795700000002,Boroondara,Southern Metropolitan,2015,32,1,8,6,9,0,117,192,324,43,0,2,1,12,0,9,31,2,0,4,32,0,0,0,0,56,676,15,42,36,0,825
